Participant,Age,AgeGroup,Sex,EducationLevel,NART_IQ
YVM_01,23,Young,F,Undergraduate,91.23
YVM_02,25,Young,F,Undergraduate,91.23
YVM_03,29,Young,M,Postgraduate,87.32
YVM_04,22,Young,M,Y12,106.9
YVM_05,21,Young,M,Undergraduate,108.21
YVM_06,20,Young,M,Undergraduate,102.9
YVM_07,21,Young,M,Undergraduate,95.15
YVM_08,33,Young,M,Y12,100.37
YVM_09,28,Young,F,Undergraduate,97.76
YVM_10,18,Young,M,Y12,95.15
YVM_11,23,Young,M,Undergraduate,100.37
YVM_12,20,Young,F,Y12,82.09
YVM_13,33,Young,M,Y12,89.93
YVM_14,29,Young,M,Undergraduate,114.74
YVM_15,25,Young,F,Undergraduate,102.9
YVM_16,27,Young,M,Postgraduate,101.68
YVM_17,23,Young,F,Undergraduate,100.37
YVM_18,28,Young,M,Undergraduate,91.23
YVM_19,32,Young,F,Postgraduate,99.07
YVM_20,29,Young,F,Postgraduate,93.84
YVM_21,27,Young,F,Undergraduate,88.62
YVM_22,25,Young,M,Postgraduate,109.52
YVM_23,26,Young,M,Undergraduate,108.21
YVM_24,21,Young,F,Undergraduate,97.76
OVM_01,77,Old,F,Postgraduate,113.43
OVM_02,69,Old,M,Undergraduate,118.66
OVM_03,71,Old,F,Y12,93.84
OVM_04,66,Old,F,Y12,110.82
OVM_05,66,Old,M,Y12,105.6
OVM_06,65,Old,M,Postgraduate,112.13
OVM_07,69,Old,M,Postgraduate,114.74
OVM_08,63,Old,F,Undergraduate,109.52
OVM_09,63,Old,F,Undergraduate,116.05
OVM_10,60,Old,F,Undergraduate,113.43
OVM_11,73,Old,F,Y12,106.9
OVM_12,60,Old,M,Postgraduate,114.74
OVM_13,70,Old,F,Y12,102.9
OVM_14,65,Old,F,Undergraduate,99.07
OVM_15,63,Old,M,Undergraduate,100.37
OVM_16,65,Old,M,Postgraduate,105.6
OVM_18,63,Old,F,Y12,110.82
OVM_19,69,Old,F,Postgraduate,114.74
OVM_20,69,Old,F,Y12,95.15
OVM_21,64,Old,F,Y12,92.54
OVM_22,64,Old,F,Undergraduate,108.21
OVM_23,64,Old,F,Y12,109.52
OVM_24,75,Old,M,Undergraduate,112.13
